Startup-Time:    0.000000
timestamp, pos_x, pos_y, pos_z, vel_x, vel_y, acc_x, acc_y, acc_z, att_force_x, att_force_y, att_force_z, member_force_x, member_force_y, member_force_z, rep_force_x, rep_force_y, rep_force_z
   2.442500,      0,      0,  12032,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
   2.505028,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   2.567556,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43617.9180, -36284.9688,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   2.630084,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43617.9180, -36284.9688,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   2.692612,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43617.9180, -36284.9688,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   2.755140,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43617.9180, -36284.9688,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   2.817668,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43617.9180, -36284.9688,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   2.880196,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 43617.9180, -36284.9688,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   2.942724,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 65426.8750, -54427.4531,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   3.005252,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 65426.8750, -54427.4531,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   3.067780,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 109044.7969, -90712.4219,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   3.130308,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 109044.7969, -90712.4219,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   3.192836,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 109044.7969, -90712.4219,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   3.255364,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 130853.7578, -108854.9062,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   3.317892,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 130853.7578, -108854.9062,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   3.380420,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 130853.7578, -108854.9062,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   3.442948,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 130853.7578, -108854.9062,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   3.505476,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 130853.7578, -108854.9062,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   3.568004,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 130853.7578, -108854.9062,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   3.630532,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 130853.7578, -108854.9062,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   3.693060,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 130853.7578, -108854.9062,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   3.755588,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 130853.7578, -108854.9062,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   3.818116,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 130853.7578, -108854.9062,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   3.880644,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 130853.7578, -108854.9062,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   3.943172,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 130885.0391, -108849.4219,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   4.005700,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 109101.3047, -90674.6719,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   4.068228,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 109101.3047, -90674.6719,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   4.130756,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 109101.3047, -90674.6719,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   4.193284,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 109101.3047, -90674.6719,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   4.255812,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 109101.3047, -90674.6719,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
   4.318340,   1280,  -1280,  12032,     5.0000,    -5.0000,     0.0000, 109101.3047, -90674.6719,     0.0000,     0.0000,     0.0000,     0.0000, 21808.9590, -18142.4844,     0.0000,     0.0000,     0.0000,     0.0000
