Startup-Time:    0.000000 at 1932.740742061 sec
drone_timestamp, sys_timestamp, own_x, own_y, member_50_x, member_50_y, member_51_x, member_51_y
  27.135199, 1959.872727526,     0.0000,     0.0000,    -0.0078,  -166.9062,     0.0000,     0.0000
  27.533813, 1960.288999683,     0.0000,     0.0000,    -0.0078,  -166.9062,     0.0000,     0.0000
  27.932430, 1960.664685510,     0.0000,     0.0000,    -0.0078,  -166.9062,     0.0000,     0.0000
  28.331045, 1961.073102030,    -0.0000,     0.0000,    -0.0078,  -166.9062,    -0.0000,     0.0000
  28.729662, 1961.484310646,     0.0002,    -0.0000,    -0.0195,  -166.9062,     0.0002,    -0.0000
  29.128279, 1961.857119687,     0.0007,    -0.0392,    -0.0195,  -166.8984,     0.0007,    -0.0392
  29.526894, 1962.270563269,     0.0015,    -0.2775,    -0.0195,  -166.6680,     0.0015,    -0.2775
  29.925510, 1962.680364068,     0.0023,    -0.6969,    -0.0195,  -166.6680,     0.0023,    -0.6969
  30.324125, 1963.060879815,     0.0034,    -1.2218,    -0.0469,  -166.1289,     0.0034,    -1.2218
  30.722742, 1963.477719317,     0.0049,    -1.8036,    -0.0977,  -165.4062,     0.0049,    -1.8036
  31.121359, 1963.847273028,     0.0069,    -2.4174,    -0.1484,  -164.6562,     0.0069,    -2.4174
  31.519974, 1964.256096380,     0.0094,    -3.0508,    -0.2070,  -163.8672,     0.0094,    -3.0508
  31.918591, 1964.646731569,    -0.0050,    -3.6894,    -0.2070,  -163.8672,    -0.0050,    -3.6894
  32.317207, 1965.060376998,    -0.1844,    -4.2549,    -0.2773,  -163.0469,    -0.1844,    -4.2549
  32.715820, 1965.436899138,    -0.5595,    -4.7255,    -0.3594,  -162.2266,    -0.5595,    -4.7255
  33.114437, 1965.832660907,    -1.0670,    -5.1228,    -0.4375,  -161.3789,    -1.0670,    -5.1228
  33.513054, 1966.260593763,    -1.6528,    -5.4650,    -0.5391,  -160.4492,    -1.6528,    -5.4650
  33.911671, 1966.632876849,    -2.2853,    -5.7654,    -0.5391,  -160.4492,    -2.2853,    -5.7654
  34.310287, 1967.041931530,    -2.9257,    -6.0610,    -0.6367,  -159.6094,    -2.9257,    -6.0610
  34.708900, 1967.452915521,    -3.4771,    -6.4766,    -0.7383,  -158.7500,    -3.4771,    -6.4766
  35.107517, 1967.828154384,    -3.9300,    -7.0116,    -0.8477,  -157.8867,    -3.9300,    -7.0116
  35.506134, 1968.248313445,    -4.3074,    -7.6173,    -0.9492,  -157.0078,    -4.3074,    -7.6173
  35.904751, 1968.645559564,    -4.6276,    -8.2594,    -0.9492,  -157.0078,    -4.6276,    -8.2594
  36.303368, 1969.054610787,    -4.9031,    -8.9203,    -1.0664,  -156.0586,    -4.9031,    -8.9203
  36.701981, 1969.448757370,    -5.1422,    -9.5914,    -1.1797,  -155.1992,    -5.1422,    -9.5914
  37.100597, 1969.823300446,    -5.3509,   -10.2706,    -1.2891,  -154.3398,    -5.3509,   -10.2706
  37.499214, 1970.237399054,    -5.5338,   -10.9562,    -1.2891,  -154.3398,    -5.5338,   -10.9562
  37.897831, 1970.648846065,    -5.6942,   -11.6459,    -1.4062,  -153.4570,    -5.6942,   -11.6459
  38.296448, 1971.024082807,    -5.8351,   -12.3384,    -1.5273,  -152.5195,    -5.8351,   -12.3384
  38.695061, 1971.442703276,    -5.9592,   -13.0329,    -1.6367,  -151.6367,    -5.9592,   -13.0329
  39.093678, 1971.847547849,    -6.0690,   -13.7285,    -1.7578,  -150.7891,    -6.0690,   -13.7285
  39.492294, 1972.217413210,    -6.1662,   -14.4248,    -1.7578,  -150.7891,    -6.1662,   -14.4248
  39.890911, 1972.637256063,    -6.2526,   -15.1214,    -1.8867,  -149.8984,    -6.2526,   -15.1214
  40.289528, 1973.012570428,    -6.3298,   -15.8197,    -2.0078,  -149.0195,    -6.3298,   -15.8197
  40.688141, 1973.430755799,    -6.3991,   -16.5198,    -2.1289,  -148.1172,    -6.3991,   -16.5198
  41.086758, 1973.811525104,    -6.4618,   -17.2214,    -2.2500,  -147.2500,    -6.4618,   -17.2214
  41.485374, 1974.228582907,    -6.5192,   -17.9238,    -2.2500,  -147.2500,    -6.5192,   -17.9238
  41.883991, 1974.616786048,    -6.5718,   -18.6265,    -2.3789,  -146.3672,    -6.5718,   -18.6265
  42.282604, 1975.037449782,    -6.6202,   -19.3290,    -2.5078,  -145.4883,    -6.6202,   -19.3290
  42.681221, 1975.427354337,    -6.6654,   -20.0313,    -2.6289,  -144.6172,    -6.6654,   -20.0313
  43.079838, 1975.799090651,    -6.7079,   -20.7332,    -2.7578,  -143.6680,    -6.7079,   -20.7332
  43.478455, 1976.226224791,    -6.7480,   -21.4361,    -2.7578,  -143.6680,    -6.7480,   -21.4361
  43.877071, 1976.617341755,    -6.7858,   -22.1397,    -2.8867,  -142.7891,    -6.7858,   -22.1397
  44.275684, 1976.995256722,    -6.8218,   -22.8427,    -3.0195,  -141.9180,    -6.8218,   -22.8427
  44.674301, 1977.413941792,    -6.8564,   -23.5486,    -3.1562,  -141.0195,    -6.8564,   -23.5486
  45.072918, 1977.813194642,    -6.8903,   -24.2599,    -3.2773,  -140.1484,    -6.8903,   -24.2599
  45.471535, 1978.191458791,    -6.9238,   -24.9776,    -3.2773,  -140.1484,    -6.9238,   -24.9776
  45.870152, 1978.616972916,    -6.9566,   -25.7007,    -3.4062,  -139.2500,    -6.9566,   -25.7007
  46.268764, 1979.000565671,    -6.9887,   -26.4277,    -3.5469,  -138.3086,    -6.9887,   -26.4277
  46.667381, 1979.414833150,    -7.0206,   -27.1587,    -3.6875,  -137.3867,    -7.0206,   -27.1587
  47.065998, 1979.784236147,    -7.0524,   -27.8931,    -3.8398,  -136.4766,    -7.0524,   -27.8931
  47.464615, 1980.197437616,    -7.0839,   -28.6294,    -3.8398,  -136.4766,    -7.0839,   -28.6294
  47.863232, 1980.605578667,    -7.1147,   -29.3663,    -3.9766,  -135.5469,    -7.1147,   -29.3663
  48.261845, 1980.973841467,    -7.1448,   -30.1030,    -4.1367,  -134.5898,    -7.1448,   -30.1030
  48.660461, 1981.390188189,    -7.1748,   -30.8390,    -4.2891,  -133.6562,    -7.1748,   -30.8390
  49.059078, 1981.773563822,    -7.2043,   -31.5738,    -4.2891,  -133.6562,    -7.2043,   -31.5738
  49.457695, 1982.183145679,    -7.2332,   -32.3071,    -4.4492,  -132.7266,    -7.2332,   -32.3071
  49.856312, 1982.563497032,    -7.2619,   -33.0404,    -4.5977,  -131.8281,    -7.2619,   -33.0404
  50.254925, 1982.982777452,    -7.2903,   -33.7743,    -4.7695,  -130.8867,    -7.2903,   -33.7743
  50.653542, 1983.391180618,    -7.3179,   -34.5081,    -4.9297,  -129.9766,    -7.3179,   -34.5081
  51.052158, 1983.771090863,    -7.3450,   -35.2412,    -4.9297,  -129.9766,    -7.3450,   -35.2412
  51.450775, 1984.182600377,    -7.3718,   -35.9733,    -5.0977,  -129.0664,    -7.3718,   -35.9733
  51.849388, 1984.560834717,    -7.3983,   -36.7039,    -5.2695,  -128.1562,    -7.3983,   -36.7039
  52.248005, 1984.976293401,    -7.4242,   -37.4329,    -5.4492,  -127.2578,    -7.4242,   -37.4329
  52.646622, 1985.352598708,    -7.4496,   -38.1602,    -5.6094,  -126.3398,    -7.4496,   -38.1602
  53.045238, 1985.771257897,    -7.4744,   -38.8872,    -5.6094,  -126.3398,    -7.4744,   -38.8872
